Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Rhode Island College,"James P. Adams Library,Document Delivery Office,600 Mt. Pleasant Ave.,Providence US-RI 02908 US",41.8433733,-71.464577,"600 Mt Pleasant Ave, Providence, RI 02908, USA",Match,Google
RESEARCH CENTER/CENTER FOR ARMY ANALYSIS,"6001 GOETHALS ROAD,FORT BELVOIR US-VA 22060-5230",38.7147156,-77.1435732,"6001 Goethals Rd, Fort Belvoir, VA 22060, USA",Partial Match,Google
Regis College Library / ILL,"235 Wellesley St,Weston US-MA 02493 US",42.3514614,-71.308245,"235 Wellesley St, Weston, MA 02493, USA",Match,Google
Reference Desk-ILL / Library / New York State Office of the Attorney,"120 Broadway,25th Floor Room 25C25,New York City US-NY 10271 US",40.7082118,-74.010659,"120 Broadway #25c25, New York, NY 10271, USA",Partial Match,Google
Reference Department,"99 Glenwood Ave,Jersey City US-NJ 07306",40.727846,-74.0716087,"99 Glenwood Ave, Jersey City, NJ 07306, USA",Match,Google
Reed Library-Interlibrary Sharing,"Fort Lewis College,1000 Rim Drive,Durango US-CO 81301-3999 US",37.2737453,-107.8710381,"Kroeger Hall, 1000 Rim Dr, Durango, CO 81301, USA",Match,Google
Reed Library/SUNY College at Fredonia/ILL,"280 CENTRAL AVE.,FREDONIA US-NY 14063 US",42.4540921,-79.3340398,"280 Central Ave, Fredonia, NY 14063, USA",Partial Match,Google
READING PUBLIC LIBRARY / ILL,"100 South 5th Street,Reading US-PA 19602 US",40.3336738,-75.9279324,"100 S 5th St, Reading, PA 19602, USA",Match,Google
RAND Corporation,"1776 Main Street, P.O.Box 2138,Santa Monica, CA 90407-2138",34.0095767,-118.4907991,"1776 Main St, Santa Monica, CA 90401, USA",Partial Match,Google
Ramsley Technical Library-ILL,"Kansas Street , Natick, MA 01760-5056",42.2909613,-71.3608326,"Kansas St, Natick, MA 01760, USA",Partial Match,Google
Ramaker Library / ILL,"Ramaker Library,Northwestern College,101 7th ST. SW,Orange City, IA 51041",42.9990212,-96.0587881,"8th St SW, Orange City, IA 51041, USA",Match,Google
R.I.T./ Wallace Library/ ILL Dept.,"90 Lomb Memorial Dr. Bldg 5 Rm A500,Rochester US-NY 14623 US",43.0839412,-77.676341,"90 Lomb Memorial Dr, Rochester, NY 14623, USA",Match,Google
Quinsigamond Community College,"670 W. Boylston St., Worcester,MA 01606",42.3146277,-71.7938819,"670 W Boylston St, Worcester, MA 01606, USA",Match,Google
QUEENS HOSPITAL CENTER,"82-68 164TH STREET,JAMAICA NY 11432",40.7169778,-73.8041216,"82-68 164th St, Jamaica, NY 11432, USA",Match,Google
Putnam County Public Library Lynne,"103 E. Poplar,Greencastle, IN",39.6429701,-86.8631184,"103 E Poplar St, Greencastle, IN 46135, USA",Partial Match,Google
PURDUE UNIVERSITY LIBRARIES ILL,"504 West State Street,West Lafayette US-IN 47907-2058",40.4245283,-86.912637,"504 W State St, West Lafayette, IN 47907, USA",Partial Match,Google
Public Library of Cincinnati / Document Delivery,800 Vine Street Cincinnati Ohio 45202-2071,39.1057794,-84.5133076,"800 Vine St, Cincinnati, OH 45202, USA",Partial Match,Google
Princeton Public Library / ILL,"Andre Levie,65 Witherspoon St.,Princeton, NJ 08542,Princeton US-NJ 08542",40.351615,-74.660262,"65 Witherspoon St, Princeton, NJ 08542, USA",Match,Google
Prairie State College,"202 S. Halsted Street,Chciago Heights US-IL 60411 US",41.5255653,-87.6386099,"202 S Halsted St, Chicago Heights, IL 60411, USA",Partial Match,Google
Portland State University,"Portland State University,1875 SW Park Avenue,Portland US-OR 97201",45.5115796,-122.6860416,"1875 SW Park Ave, Portland, OR 97201, USA",Match,Google
Portland Community College Library,"- ROCK CREEK LIBRARY,17705 NW SPRINGVE RD,PORTLAND US-OR 97229 US",45.5671211,-122.8600537,"17705 NW Springville Rd, Portland, OR 97229, USA",Partial Match,Google
"POLLAK LIBRARY / ILL CALIFORNIA STATE UNIVERSITY, FULLERTON","CSU, Fullerton Library - ,PO Box 4150 , 800 N. State College Blvd.,Fullerton US-CA 92834 US",33.8810986,-117.8853769,"California State University Fullerton, 800 N State College Blvd, Fullerton, CA 92831, USA",Partial Match,Google
POINT PARK UNIVERSITY LIBRARY / ILL,"Point Park University Library , 201 Wood Street , Pittsburgh, PA 15222",40.4382916,-80.0014283,"201 Wood St, Pittsburgh, PA 15222, USA",Match,Google
Plattsburgh Public Library-ILL,"19 Oak Street,Plattsburgh US-NY 12901 US",44.6971985,-73.4556708,"19 Oak St, Plattsburgh, NY 12901, USA",Match,Google
PHILLIPS MEMORIAL LIBRARY/ ILL DEPT.,"Providence College,1 Cunningham Square,Providence US-RI 02918-0001 US",41.8440925,-71.4381653,"1 Cunningham Square, Providence, RI 02918, USA",Match,Google
Perkins Library / Interlibrary Loan,"Perkins Library - Doane College,1014 Boswell,Crete US-NE 68333 US",40.622954,-96.950967,"1014 Boswell Ave, Crete, NE 68333, USA",Match,Google
Pasquerilla Library / ILL,"Saint Francis University,117 Evergreen Drive,Loretto US-PA 15940 US",40.50382,-78.6376191,"117 Evergreen Drive, Loretto, PA 15940, USA",Match,Google
Palm Beach County Library System / ILL,"Palm Beach County Library, 3650 Summit Blvd., West Palm Beach, FL 33406",26.6626942,-80.0985877,"3650 Summit Blvd, West Palm Beach, FL 33406, USA",Match,Google
Palm Beach Community College Library / ILL,"Palm Beach State College,4200 Congress Avenue,Lake Worth, FL 33461 US",26.6129818,-80.0862299,"4200 S Congress Ave, Lake Worth, FL 33461, USA",Match,Google
Pacific University / Library / ILL Dept.,"Pacific University Library,2043 College Way,Forest Grove US-OR 97116-1756 US",45.5241539,-123.1098768,"2043 College Way, Forest Grove, OR 97116, USA",Match,Google
PACE UNIVERSITY,"1 Martine Ave. Room 426,White Plains US-NY 10606 US",40.971645,-73.677401,"1 Martin Rd #426, Rye, NY 10580, USA",Partial Match,Google
Otterbein University,"Courtright Memorial Library, Interlibrary Loan,Otterbein University,Westerve US-OH 43081 US",40.1265047,-82.936658,"138 W Main St, Westerville, OH 43081, USA",Match,Google
OTTENHEIMER LIBRARY/ ILL,"UNIVERSITY OF ARKANSAS AT LITTLE ROCK,2801 S. U NIVERSITY,LITTLEROCK,AR 72204",34.7240568,-92.3388872,"2801 S University Ave, Little Rock, AR 72204, USA",Partial Match,Google
Otsego-Northern Catskills BOCES School Library System (YSQ),"P.O. Box 57,1914 County Rt. 35,Milford US-NY 13807 US",42.5845657,-74.9272081,"County Hwy 35, New York, USA",Partial Match,Google
OSU-ILL / Tulsa Library,"INTERLIBRARY SERVICES,OSU-TULSA LIBRARY,700 N. GREENWOOD AVE,TULSA OK 74106-0700",36.164051,-95.988899,"700 N Greenwood Ave, Tulsa, OK 74106, USA",Match,Google
Orange County Community College / Library / ILL,"SUNY ORANGE,115 SOUTH STREET,MIDDLETOWN US-NY 10940",41.4386164,-74.4261043,"115 South St, Middletown, NY 10940, USA",Match,Google
Olson Library - ILL,"Northern Michigan University,1401 Presque Isle Avenue,Marquette US-MI 49855-5376 US",46.5596032,-87.4044868,"1401 Presque Isle Ave, Marquette, MI 49855, USA",Match,Google
Oklahoma Dept. of Libraries / ILL,",P.O. BOX 1018,HINTON US-OK 73047 US",35.4714415,-98.3556162,"Hinton, OK 73047, USA",Match,Google
Oklahoma City University Law Library- ILL,"800 N. Harvey Ave.,Oklahoma City US-OK 73102 US",35.4756535,-97.5172378,"800 N Harvey Ave, Oklahoma City, OK 73102, USA",Match,Google
"ODYSSEY: 206.107.43.120, EMAIL: illhilo@hawaii.edu, or Article Exchang","University of Hawaii at Hilo - Mookini Library Dept.,200 W. Kawili St.,Hilo US-HI 96720 US",19.6995703,-155.0807536,"200 W Kawili St, Hilo, HI 96720, USA",Match,Google
Odyssey Sender,"28 Westhampton Way,University of Richmond US-VA 23173 US",37.5758681,-77.5409744,"28 Westhampton Way, Richmond, VA 23173, USA",Match,Google
OCPL Interlibrary Loan,"58 Doris Avenue East,Jacksonve US-NC 28540 US",34.7526993,-77.4323913,"9 Tallman St, Jacksonville, NC 28540, USA",Partial Match,Google
NYS Dept. of Environmental Conservation RESEARCH LIBRARY,"NYS Dept. of Environmental Conservation,625 Broadway - 1st Floor,Albany US-NY 12233-2700 US",42.652359,-73.74861,"625 Broadway, Albany, NY 12233, USA",Partial Match,Google
NYCAMH Library,One Atwell Rd. Cooperstown US-NY 13326 US,42.6960158,-74.9231863,"1 Atwell Rd, Cooperstown, NY 13326, USA",Match,Google
Nyack College,"Nyack College - Bailey Library,One South Blvd.,Nyack US-NY 10960 US",41.0882386,-73.9314597,"122 Highland Ave, Nyack, NY 10960, USA",Match,Google
ntoftness@nv.edu,750 Chase Parkway Waterbury US-CT 06708 US,41.549329,-73.073553,"750 Chase Pkwy, Waterbury, CT 06708, USA",Match,Google
NORTHERN ARIZONA UNIVERSITY / CLINE LIBRARY / DDS / BLDG 28,1001 S. Knoles Drive Building 28 Flagstaff US-AZ 86011-6022 US,35.1892425,-111.657141,"1001 S Knoles Dr, Flagstaff, AZ 86001, USA",Partial Match,Google
North Dakota State Library,"604 E Boulevard Ave, Dept 250,Bismarck US-ND 58505-0800 US",46.8192453,-100.7815634,"604 E Boulevard Ave, Bismarck, ND 58505, USA",Partial Match,Google
North Country Library System / ILL,"22072 County Route 190,Watertown US-NY 13601 US",43.9971424,-75.932341,"22072 County Rd 190, Watertown, NY 13601, USA",Match,Google
North Bellmore Public Library,"1551 Newbridge Road,North Bellmore US-NY 11710 US",40.6830806,-73.539699,"1551 Newbridge Rd, North Bellmore, NY 11710, USA",Match,Google
NORMA BATARCE,US,37.09024,-95.712891,United States,Match,Google
Nioga Library System,"6575 Wheeler Rd,Lockport US-NY 14094 US",43.2228643,-78.6700025,"6575 Wheeler Rd, Lockport, NY 14094, USA",Match,Google
NEWMAN UNIVERSITY - KS752,"DUGAN LIBRARY - ,3100 MCCORMICK,WICHITA US-KS 67213-2097 US",37.6727186,-97.3775713,"Dugan Library & Campus Center, 3100 McCormick St, Wichita, KS 67213, USA",Partial Match,Google
New York University Law Library,"New York University Law Library,40 Washington Square South,New York 10012 US",40.7303918,-73.9993699,"40 Washington Square S, New York, NY 10012, USA",Match,Google
New York State Historical Association / REARCH LIBRARY-ILL,"New York State Historical Association,PO Box 800, 5798 State Highway 80,Cooperstown US-NY 13326-0800 US",42.7157015,-74.9271191,"5798 NY-80, Cooperstown, NY 13326, USA",Partial Match,Google
NEW YORK SOCIETY LIBRARY / ILL,"The New York Society Library,53 East 79th Street,New York US-NY 10075-0250 US",40.77634,-73.96144,"53 E 79th St, New York, NY 10075, USA",Match,Google
"New York Law School, Mendik Library, Interlibrary Loan","New York Law School,185 West Broadway,New York US-NY 10013 US",40.717982,-74.006988,"185 W Broadway, New York, NY 10013, USA",Match,Google
New York Chiropractic Coll Library / ILL,"2360 State Route 89,Seneca Falls US-NY 13148-0800",42.9116558,-76.7564445,"2360 NY-89, Seneca Falls, NY 13148, USA",Partial Match,Google
New Castle Public Library / ILL,"207 E. North Street,New Castle, Pa. 16101-3691",41.0017047,-80.3439037,"207 E North St, New Castle, PA 16101, USA",Partial Match,Google
New Berlin Public Library,"15105 Library Lane,WI,New Berlin 53151-5280",42.9795578,-88.1019233,"15105 W Library Ln, New Berlin, WI 53151, USA",Partial Match,Google
Nassau Library System - ILL,"900 Jerusalem Ave,Uniondale US-NY 11553 US",40.6957531,-73.5851277,"900 Jerusalem Ave, Uniondale, NY 11553, USA",Match,Google
N. Mallerdino,"New Castle Co. Libraries,Tech. Svs.,Bear Library,101 Governors Place,Bear, DE 19701",39.6354204,-75.6600616,"Governors Square Shopping Center, 101 Governors Pl, Bear, DE 19701, USA",Match,Google
Murdock Learning Resource Center,416 N. Meridian St. Newberg US-OR 97132-2698 US,45.3031523,-122.9705508,"416 N Meridian St, Newberg, OR 97132, USA",Partial Match,Google
Muhlenberg College Library / ILL-EVI,"2400 Chew St,Allentown US-PA 18104 US",40.5882533,-75.5395654,"2400 Chew St, Allentown, PA 18104, USA",Match,Google
Mt.Hood Community College Library,"Mt.Hood Community College Library,26000 SE Stark Street,Gresham US-OR 97030 US",45.5165261,-122.3961821,"26000 SE Stark St, Gresham, OR 97030, USA",Match,Google
Ms.Surintha Lasakun (Worldshare ILL),"Chiang Mai University Library,239 Huay Kaew Road, Muang District, Chiang Mai 50200,TH",18.8033673,98.9537094,"239 Huay Kaew Road Chiang Mai, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",Match,Google
Moravian College & Moravian Theological Seminary,"Reeves Library,Moravian College1200 Main Street,Bethlehem US-PA 18018 US",40.6308814,-75.3812135,"1200 Main St, Bethlehem, PA 18018, USA",Match,Google
MONTGOMERY COUNTY COMMUNITY COLLEGE / ILL,"Library - Montgomery Cty. Comm. Coll.,340 DeKalb Pike,Blue Bell US-PA 19422 US",40.1763373,-75.2755938,"340 Dekalb Pike, Blue Bell, PA 19422, USA",Match,Google
Montefiore Medical Library,"Health Sciences Library,111 E 210th Street,Bronx, NY 10467,US",40.8800817,-73.8798383,"111 E 210th St, Bronx, NY 10467, USA",Match,Google
MONROE COMMUNITY COLLEGE/LEROY V. GOOD LIBRARY-ILL,"LeRoy V. Good Library ,PO Box 92810-1000 E Henrietta Road,Rochester US-NY 14692-8910 US",43.1009833,-77.6101465,"1000 E Henrietta Rd, Rochester, NY 14623, USA",Partial Match,Google
Mommouth Univerity Library / ILL,",400 Cedar Ave.,West Long Branch US-NJ 07764 US",40.2828574,-74.0026318,"400 Cedar Ave, West Long Branch, NJ 07764, USA",Match,Google
MOHAWK VALLEY COMMUNITY COLLEGE / LIBRARY / ILL,1101 Sherman Drive Utica US-NY 13501 US,43.077007,-75.218217,"1101 Sherman Dr, Utica, NY 13501, USA",Match,Google
University Central MO,"James C. Kirkpatrick Library Univ of Central MO.,601 S Missouri,Warrensburg US-MO 64093 US",38.7559201,-93.7373204,"601 Missouri St, Warrensburg, MO 64093, USA",Match,Google
MO99 COKAMO,",ST LOUIS PUBLIC LIBRARY,1415 OLIVE ST,ST LOUIS US-MO 63103 US",38.6307357,-90.199499,"1301 Olive St, St. Louis, MO 63103, USA",Match,Google
Olathe Public Library,"201 East Park Olathe ,KS 66061-3499 US",38.8817531,-94.8176701,"201 E Park St, Olathe, KS 66061, USA",Partial Match,Google
Minnesota State University Library Services,"601 Maywood Ave,PO Box 8419,Mankato US-MN 56002-8419 US",44.1483818,-93.9993909,"601 Maywood Ave, Mankato, MN 56001, USA",Partial Match,Google
Milne Library,"Milne Library,1 College Circle,Geneseo US-NY 14454 US",42.7973799,-77.8199091,"1 College Cir #1, Geneseo, NY 14454, USA",Match,Google
Midwestern St. Univ Moffett Library / ILL,"3410 Taft Blvd.,Wichita Falls, TX 76308",33.8762984,-98.5198092,"3410 Taft Blvd, Wichita Falls, TX 76308, USA",Match,Google
MIDDLETOWN THRALL LIBRARY,"11-19 DEPOT STREET,MIDDLETOWN US-NY 10940 US",41.4470746,-74.4205309,"11-19 Depot St, Middletown, NY 10940, USA",Match,Google
MID-CONTINENT PUBLIC LIBRARY/ILL,"MID-CONTINENT PUBLIC LIBRARY,15616 E 24 HWY,INDEPENDENCE US-MO 64050 US",39.1115855,-94.391628,"15616 E. 24 Hwy, Independence, MO 64050, USA",Match,Google
Metropolitan College of New York Attn: ILL Librarian,"431 Canal Street,Library 12th Floor,New York US-NY 10013 US",40.7531823,-73.9822534,"476 5th Ave, New York, NY 10018, USA",Match,Google
Mesa State College Library (Tomlinson Library),"Colorado Mesa University,1200 College Place,Grand Junction, CO US-CO 81501 US",39.0808594,-108.5543371,"1100 North Ave, Grand Junction, CO 81501, USA",Match,Google
Mercyhurst College/Hammermill Library/ILL,"Hammerm Library,501 East 38 Street,Erie US-PA 16546 US",42.1053129,-80.0531803,"501 E 38th St, Erie, PA 16546, USA",Match,Google
Mercer University Jack Tarver Library,"1501 Mercer University Drive,Mercer University,Macon US-GA 31207 US",32.8287784,-83.6496381,"1501 Mercer University Dr, Macon, GA 31207, USA",Match,Google
Memorial Sloan Kettering Cancer,"Memorial Sloan Kettering Cancer Center,1275 York Avenue,New York, NY 10065",40.7642751,-73.9567262,"1275 York Ave, New York, NY 10065, USA",Match,Google
Melville Library - AHEC Pine Bluff,MELVE LIBRARY,34.1884295,-92.0163745,"4010 S Mulberry St, Pine Bluff, AR 71603, USA",Partial Match,Google
Medical Library / HOLY SPIRIT HOSPITAL,"Holy Spirit Hospital,503 N. 21st St.,Camp H US-PA 17011 US",40.2536274,-76.9222033,"503 N 21st St, Camp Hill, PA 17011, USA",Match,Google
Medical Library - Bldg. 7777 Room 2D01,"Wiam Beaumont Army Medical,5005 N. Piedras St.,El Paso US-TX 79920-5001 US",31.8212728,-106.4623904,"5005 N Piedras St, El Paso, TX 79920, USA",Match,Google
Medaille College Library,"18 Agassiz Circle,Buffalo, N.Y. 14214",42.928608,-78.8559545,"18 Agassiz Cir, Buffalo, NY 14214, USA",Match,Google
MCNEESE STATE UNIV / ILL / Library,McNeese State University Lake Charles LA 70609-1445 USA,30.1804575,-93.2178729,"4205 Ryan St, Lake Charles, LA 70605, USA",Match,Google
McCartney Library ILL,"Geneva College,3200 College Ave.,Beaver Falls, PA 15010",40.7713156,-80.3218472,"3200 College Ave, Beaver Falls, PA 15010, USA",Match,Google
MARY IMOGENE BASSETT HOSPITAL,"MEDICAL LIBRARY,1 ATWELL RD,COOPERSTOWN NY 13326",42.6956257,-74.9236009,"1 Atwell Rd, Cooperstown, NY 13326, USA",Match,Google
MARGE RHODES,"WESTINGHOUSE ELECTRIC COMPANY,1000 WESTINGHOUSE DRIVE,SUITE 172,CRANBERRY TOWNSHIP,PA 16066",40.6812566,-80.0849855,"1000 Westinghouse Dr #572a, Cranberry Twp, PA 16066, USA",Match,Google
MANSFIELD UNIVERITY OF PA / LIBRARY / ILL,"907 Front Street,Binghamton US-NY 13905 US",42.1351978,-75.9124355,"907 Front St, Binghamton, NY 13905, USA",Match,Google
MANHATTANVILLE COLLEGE / LIBRARY - ILL,"Library - ,2900 Purchase Street,PURCHASE US-NY 10577 US",41.0405525,-73.7142277,"3093 Purchase St, Purchase, NY 10577, USA",Match,Google
Manchester Community-Technical College Library,1 Great Path Manchester US-CT 06045-1046 US,41.7622906,-72.5670043,"Great Path, Manchester, CT 06040, USA",Partial Match,Google
Malverne Public Library / ILL,"169 Jerusalem Avenue,Hicksve US-NY 11801 US",40.7620628,-73.5230156,"169 Jerusalem Ave, Hicksville, NY 11801, USA",Partial Match,Google
Maine State Library / ILL-OCLC,"930 BOG ROAD,EAST VASSALBORO US-ME 04935-0062 US",44.4498734,-69.6205651,"930 Bog Rd, Vassalboro, ME 04989, USA",Partial Match,Google
Macdonald DeWitt Library,"Ulster County Community College,491 Cottek Rd,Stone Ridge US-NY 12440 US",41.851499,-74.128999,"491 Cottekill Rd, Stone Ridge, NY 12484, USA",Partial Match,Google
Loyola University New Orleans,"Loyola University New Orleans,6363 St. Charles Ave.,New Orleans US-LA 70118 US",29.935716,-90.1203782,"6363 St Charles Ave, New Orleans, LA 70118, USA",Match,Google
"Liz Curry, ILL / McGrath Library","McGrath Library,Hilbert College,5200 South Park Ave,Hamburg NY 14075",42.7536002,-78.8214343,"5200 South Park Ave, Hamburg, NY 14075, USA",Match,Google
Lisa Bonifacic The Andrew W. Mellon Foundation 140 East 62nd Street,US,37.09024,-95.712891,United States,Match,Google
LINDENHURST MEMORIAL LIBRARY,"ONE LEE AVENUE,LINDENHURST US-NY US",40.6826485,-73.3674674,"1 Lee Ave, Lindenhurst, NY 11757, USA",Match,Google
Linda Pendorf,1136 Freedom Drive Oneida NY 13421,43.0708586,-75.6357817,"1136-1141 Freedom Dr, Oneida, NY 13421, USA",Partial Match,Google
Library-North Country Community College,"P.O. Box 89,23 Santanoni Ave.,Saranac Lake US-NY 12983-0089 US",44.318853,-74.1211271,"23 Santanoni Ave, Saranac Lake, NY 12983, USA",Partial Match,Google
Library-Interlibrary Loan Office,"Salem State University,352 Lafayette St.,Salem, MA 01970-5348,USA",42.503103,-70.890682,"352 Lafayette St, Salem, MA 01970, USA",Match,Google
"Library-ILS, California State University Long Beach","1250 Bellflower Blvd.,Long Beach US-CA 90840-1901 US",33.7810359,-118.1135711,"1250 N Bellflower Blvd, Long Beach, CA 90840, USA",Partial Match,Google
Library/ILL/Springfield Tech. Comm. College,"1 Armory Sq.,Suite 1 PO Box 9000,Springfield US-MA 01102-9000 US",42.1088724,-72.5785599,"1 Armory St #1, Springfield, MA 01105, USA",Partial Match,Google
LIBRARY/CAYUGA COMMUNITY COLLEGE,"Cayuga Community College,Franklin Street,Auburn, NY 13021-3099",42.9438003,-76.5435399,"197 Franklin St, Auburn, NY 13021, USA",Match,Google
Library Technology Center - ILL,"Concordia University,1282 Concordia Ave,St. Paul US-MN 55104 US",44.9494817,-93.1530429,"1282 Concordia Ave, St Paul, MN 55104, USA",Match,Google
Library of Virginia ILL,"800 East Broad St,Richmond US-VA 23219 US",37.5415632,-77.4338864,"800 E Broad St, Richmond, VA 23219, USA",Match,Google
LIBRARY OF THE CHATHAMS / ILL,"Morris County Library,30 E Hanover Ave,Whippany US-NJ 07981 US",40.8064405,-74.4524711,"30 Hanover Ave, Whippany, NJ 07981, USA",Match,Google
Library ILL/Dominican University of California,"Dominican University of California,50 Acacia Avenue,San Rafael US-CA 94901 US",37.9798656,-122.5129887,"50 Acacia Ave, San Rafael, CA 94901, USA",Match,Google
Library / Interlibrary Loan,"Massachusetts School of Professional Psychology,One Wells Avenue,Newton US-MA 02459 US",42.2949598,-71.20325,"One Wells Ave, Newton, MA 02459, USA",Match,Google
LIBRARY / ILL / FITCHBURG STATE COLLEGE,"Fitchburg State University , Amelia V. Gallucci-Cirio Library,160 Pearl Street,Fitchburg US-MA 01420-2697 US",42.5900165,-71.7889139,"160 Pearl St, Fitchburg, MA 01420, USA",Match,Google
Maryville U of St. Louis,"Maryve University of St. Louis,650 Maryve University Drive,St. Louis MO US 63141",38.6456624,-90.5047854,"650 Maryville University Dr, St. Louis, MO 63141, USA",Partial Match,Google
Ryerson U,"Ryerson University,350 Victoria St.,Toronto CA-ON M5B 2K3 CA",43.6576585,-79.3788017,"350 Victoria St, Toronto, ON M5B 2K3, Canada",Match,Google
Humbolt State,"1 Harpst St.,Humboldt State University,Arcata, CA 95521-8299",40.8752748,-124.077821,"1 Harpst St, Arcata, CA 95521, USA",Match,Google
LIBRARY - DOCUMENT DELIVERY DEPT.,"NEW YORK ACADEMY OF MEDICINE LIBRARY,1216 FIFTH AVE.,NEW YORK US-NY 10029 US",40.7921,-73.9523826,"1216 5th Ave, New York, NY 10029, USA",Match,Google
Library,"Argosy University Twin Cities,1515 Central Parkway,Eagan, MN 55121",44.8373018,-93.1738039,"1515 Central Pkwy, Eagan, MN 55121, USA",Match,Google
Levittown Public Library,"1 Bluegrass Lane,Levittown US-NY 11756 US",40.723237,-73.5296919,"1 Bluegrass Ln, Levittown, NY 11756, USA",Match,Google
Levitt Medical Library ILL,"Mercy Medical Center - Des Moines,1111 6th Avenue,Des Moines US-IA 50314 US",41.598853,-93.623385,"1111 6th Ave, Des Moines, IA 50314, USA",Match,Google
Leslie Barr,"Mengle Memorial Library,324 Main Street,Brockway US-PA 15824-0324 US",41.2492053,-78.8003437,"324 Main St, Brockway, PA 15824, USA",Match,Google
LENOIR-RHYNE UNIVERSITY,"625 7th AVENUE NE,HICKORY US-NC 28603 US",35.739195,-81.3257239,"625 7th Ave NE, Hickory, NC 28601, USA",Partial Match,Google
LEBANON VALLEY COLLEGE / BISHOP LIBRARY / ILL,"Lebanon Valley College,101 N. College Avenue,Annve US-PA 17003 US",40.331103,-76.514699,"101 College Ave, Annville, PA 17003, USA",Match,Google
Lavery Library - ILL,"St. John Fisher College,3690 East Avenue,Rochester US-NY 14618 US",43.115372,-77.511511,"3690 East Ave, Rochester, NY 14618, USA",Match,Google
Langsam Library / ILL,"University of Cincinnati Langsam Library,2911 Woodside Dr,Cincinnati US-OH 45221-0033 US",39.1343509,-84.5154191,"2911 Woodside Drive, Cincinnati, OH 45221, USA",Match,Google
Landmark College / ILL / Library,"19 River Road South,Putney US-VT 05346 US",42.9765121,-72.5123972,"19 River Rd S, Putney, VT 05346, USA",Match,Google
Kurt R. Schmeller Library / Queensborough Comm.Coll. / ILL,"Queensborough Community College,222-05 56th Avenue US-NY US 11364",40.7554707,-73.7569918,"222-05 56th Ave, Bayside, NY 11364, USA",Match,Google
KRESGE LIBRARY/ INTERLIBRARY LOAN,"OAKLAND UNIVERSITY,100 Library Drive,ROCHESTER US-MI 48309-4479 US",42.6719751,-83.2149763,"Oakland University, 115 Library Dr, Rochester, MI 48309, USA",Partial Match,Google
Kreitzberg Library ILL,"Norwich University,158 Harmon Dr,Northfield US-VT 05663",44.1390054,-72.6612317,"158 Harmon Dr, Northfield, VT 05663, USA",Match,Google
Krauskopf Library ILL,"Delaware Valley College,700 East Butler Avenue,Doylestown US-PA 18901-2697 US",40.2987672,-75.1588217,"700 E Butler Ave, Doylestown, PA 18901, USA",Match,Google
Knowl'd Info Svc (142D),"Bedford VA Medical Center,200 Springs Rd,Bedford US-MA 01730 US",42.5048352,-71.2731704,"200 Springs Rd, Bedford, MA 01730, USA",Match,Google
KIRKLAND TOWN LIBRARY / ILL,"KIRKLAND TOWN LIBRARY,55 1-2 COLLEGE ST.,CLINTON, NY 13323",43.047749,-75.384274,"55 1/2 College St, Clinton, NY 13323, USA",Match,Google
Kimbel Library / ILL / Coastal Carolina University,107 Founders Dr. Conway SC 29528-6054 US,33.797866,-79.016816,"107 Founders Dr, Conway, SC 29526, USA",Partial Match,Google
Keuka College/Lightner Library ILL,"Lightner Library ,141 Central Ave,Keuka Park US-NY 14478 US",42.616016,-77.089701,"141 Central Ave, Keuka Park, NY 14478, USA",Match,Google
KELLOGG HUBBARD LIBRARY - ILL DEPT,"135 MAIN STREET,MONTPELIER VT US 05602",44.2610843,-72.5736603,"135 Main St, Montpelier, VT 05602, USA",Match,Google
KANSAS STATE UNIVERSITY,"KANSAS STATE UNIVERSITY,137 HALE LIBRARY,MANHATTAN US-KS 66506-1200 US",39.1906147,-96.5806322,"137 Hale Library, Manhattan, KS 66506, USA",Match,Google
"Juliette Hampton Morgan Memorial Library, ILL","245 High St.,Montgomery US-AL 36104 US",32.3725223,-86.305448,"245 High St, Montgomery, AL 36104, USA",Match,Google
Johns Hopkins University / ILL,"J0HNS HOPKINS UNIVERSITY,3400 N. CHARLES STREET,BALTIMORE US-MD 21218",39.3261949,-76.6208771,"3400 N Charles St, Baltimore, MD 21218, USA",Match,Google
JOHN MORITZ LIBRARY / ILL THE JOSIE HARPER CAMPUS,720 NORTH 87TH STREET OMAHA NE 68114,41.2658712,-96.0485429,"720 N 87th St, Omaha, NE 68114, USA",Match,Google
JFK Library / ILL/ 100 LIB,"Library-,816 F St.,Cheney US-WA 99004 US",47.4885163,-117.5744251,"610 1st St, Cheney, WA 99004, USA",Match,Google
JERVIS PUBLIC LIBRARY/ILL,"JERVIS PUBLIC LIBRARY,613 North Washington Street,Rome US-NY 13440-4296 US",43.2186817,-75.4540625,"613 N Washington St, Rome, NY 13440, USA",Match,Google
Jefferson Township Public Library,"1031 Weldon Road , Oak Ridge, NJ 07438",41.021066,-74.549045,"1031 Weldon Rd, Oak Ridge, NJ 07438, USA",Match,Google
JEFFERSON CTY PUBLIC LIBRARY/ILL,10500 W. 38th Ave Wheat Ridge US-CO 80033 US,39.7688692,-105.1162521,"10500 W 38th Ave, Wheat Ridge, CO 80033, USA",Match,Google
